
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 21:53:13,451] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:13,729] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,228] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,441] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,883] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,097] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,420] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,633] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,974] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,185] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,502] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,712] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 840: loss 1.5123, time 41.22ms, mfu 8.65%
iter 850: loss 1.5001, time 41.03ms, mfu 8.69%
iter 860: loss 1.5012, time 40.93ms, mfu 8.73%
iter 870: loss 1.5028, time 41.11ms, mfu 8.76%
iter 880: loss 1.4863, time 40.83ms, mfu 8.80%
iter 890: loss 1.4941, time 41.06ms, mfu 8.83%
iter 900: loss 1.4809, time 40.80ms, mfu 8.86%
iter 910: loss 1.4301, time 42.21ms, mfu 8.86%
iter 920: loss 1.4739, time 40.79ms, mfu 8.88%
iter 930: loss 1.4637, time 40.83ms, mfu 8.91%
iter 940: loss 1.4498, time 41.16ms, mfu 8.92%
iter 950: loss 1.4636, time 40.86ms, mfu 8.94%
iter 960: loss 1.4642, time 41.18ms, mfu 8.95%
iter 970: loss 1.4628, time 40.81ms, mfu 8.97%
iter 980: loss 1.4616, time 41.21ms, mfu 8.98%
iter 990: loss 1.4433, time 40.83ms, mfu 8.99%
step 1000: train loss 1.3529, val loss 1.5742
saving checkpoint to perp
iter 1000: loss 1.4330, time 4978.20ms, mfu 8.10%
iter 1010: loss 1.4357, time 40.65ms, mfu 8.21%
iter 1020: loss 1.4069, time 44.99ms, mfu 8.21%
iter 1030: loss 1.4485, time 42.28ms, mfu 8.27%
iter 1040: loss 1.4547, time 42.30ms, mfu 8.33%
iter 1050: loss 1.3853, time 40.84ms, mfu 8.41%
iter 1060: loss 1.4435, time 41.11ms, mfu 8.47%
iter 1070: loss 1.4368, time 40.64ms, mfu 8.54%
iter 1080: loss 1.4288, time 42.29ms, mfu 8.57%
iter 1090: loss 1.4401, time 41.04ms, mfu 8.62%
iter 1100: loss 1.4200, time 42.23ms, mfu 8.64%
iter 1110: loss 1.3975, time 42.27ms, mfu 8.66%
iter 1120: loss 1.3843, time 41.10ms, mfu 8.70%
iter 1130: loss 1.3907, time 41.25ms, mfu 8.73%
iter 1140: loss 1.3987, time 42.26ms, mfu 8.74%
iter 1150: loss 1.3956, time 40.84ms, mfu 8.78%
iter 1160: loss 1.4294, time 42.61ms, mfu 8.78%
iter 1170: loss 1.3982, time 42.29ms, mfu 8.78%
iter 1180: loss 1.4143, time 42.29ms, mfu 8.78%
iter 1190: loss 1.3717, time 42.43ms, mfu 8.78%
iter 1200: loss 1.3766, time 42.33ms, mfu 8.78%
iter 1210: loss 1.3623, time 42.64ms, mfu 8.78%
iter 1220: loss 1.4030, time 40.89ms, mfu 8.81%
iter 1230: loss 1.3961, time 40.76ms, mfu 8.85%
iter 1240: loss 1.3940, time 40.93ms, mfu 8.87%
step 1250: train loss 1.2797, val loss 1.5268
saving checkpoint to perp
iter 1250: loss 1.3599, time 5012.33ms, mfu 7.99%
iter 1260: loss 1.3840, time 42.20ms, mfu 8.08%
iter 1270: loss 1.3575, time 40.94ms, mfu 8.18%
iter 1280: loss 1.3450, time 40.83ms, mfu 8.27%
iter 1290: loss 1.3840, time 40.83ms, mfu 8.36%
iter 1300: loss 1.4026, time 41.04ms, mfu 8.43%
iter 1310: loss 1.3232, time 41.17ms, mfu 8.49%
iter 1320: loss 1.3973, time 40.94ms, mfu 8.55%
iter 1330: loss 1.3564, time 41.11ms, mfu 8.60%
iter 1340: loss 1.3913, time 40.79ms, mfu 8.66%
iter 1350: loss 1.3480, time 42.17ms, mfu 8.68%
iter 1360: loss 1.3659, time 41.01ms, mfu 8.72%
iter 1370: loss 1.3459, time 40.84ms, mfu 8.76%
iter 1380: loss 1.3562, time 40.80ms, mfu 8.79%
iter 1390: loss 1.3467, time 41.04ms, mfu 8.82%
iter 1400: loss 1.3503, time 40.81ms, mfu 8.85%
iter 1410: loss 1.3334, time 40.87ms, mfu 8.88%
