
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:20:24,983] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:25,660] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:26,499] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:26,717] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,193] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,410] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,755] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:27,980] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:28,325] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:28,546] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:28,877] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:20:29,096] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 840: loss 1.5389, time 40.93ms, mfu 8.55%
iter 850: loss 1.5208, time 42.04ms, mfu 8.58%
iter 860: loss 1.5274, time 41.00ms, mfu 8.63%
iter 870: loss 1.5302, time 43.06ms, mfu 8.64%
iter 880: loss 1.5134, time 53.06ms, mfu 8.47%
iter 890: loss 1.5142, time 41.01ms, mfu 8.54%
iter 900: loss 1.5006, time 43.02ms, mfu 8.55%
iter 910: loss 1.4551, time 43.78ms, mfu 8.54%
iter 920: loss 1.4865, time 47.33ms, mfu 8.48%
iter 930: loss 1.4882, time 43.45ms, mfu 8.49%
iter 940: loss 1.4687, time 41.15ms, mfu 8.54%
iter 950: loss 1.4836, time 41.56ms, mfu 8.59%
iter 960: loss 1.4931, time 51.12ms, mfu 8.46%
iter 970: loss 1.4842, time 40.98ms, mfu 8.52%
iter 980: loss 1.4797, time 41.71ms, mfu 8.56%
iter 990: loss 1.4667, time 49.15ms, mfu 8.46%
step 1000: train loss 1.3766, val loss 1.5904
saving checkpoint to perp
iter 1000: loss 1.4575, time 5063.60ms, mfu 7.62%
iter 1010: loss 1.4561, time 43.77ms, mfu 7.71%
iter 1020: loss 1.4308, time 40.91ms, mfu 7.85%
iter 1030: loss 1.4610, time 40.94ms, mfu 7.98%
iter 1040: loss 1.4824, time 40.89ms, mfu 8.09%
iter 1050: loss 1.4125, time 40.92ms, mfu 8.19%
iter 1060: loss 1.4657, time 40.90ms, mfu 8.28%
iter 1070: loss 1.4539, time 40.83ms, mfu 8.37%
iter 1080: loss 1.4539, time 41.00ms, mfu 8.44%
iter 1090: loss 1.4688, time 40.95ms, mfu 8.51%
iter 1100: loss 1.4464, time 40.99ms, mfu 8.57%
iter 1110: loss 1.4185, time 40.95ms, mfu 8.62%
iter 1120: loss 1.4086, time 40.97ms, mfu 8.67%
iter 1130: loss 1.4116, time 40.86ms, mfu 8.71%
iter 1140: loss 1.4159, time 40.90ms, mfu 8.75%
iter 1150: loss 1.4312, time 40.90ms, mfu 8.79%
iter 1160: loss 1.4444, time 40.85ms, mfu 8.82%
iter 1170: loss 1.4201, time 40.90ms, mfu 8.85%
iter 1180: loss 1.4375, time 40.87ms, mfu 8.88%
iter 1190: loss 1.3922, time 40.95ms, mfu 8.90%
iter 1200: loss 1.4109, time 40.94ms, mfu 8.92%
iter 1210: loss 1.3879, time 40.89ms, mfu 8.94%
iter 1220: loss 1.4258, time 40.87ms, mfu 8.96%
iter 1230: loss 1.4196, time 40.96ms, mfu 8.97%
iter 1240: loss 1.4133, time 40.96ms, mfu 8.98%
step 1250: train loss 1.3058, val loss 1.5465
saving checkpoint to perp
iter 1250: loss 1.3892, time 4988.02ms, mfu 8.09%
iter 1260: loss 1.3988, time 49.19ms, mfu 8.04%
iter 1270: loss 1.3845, time 50.12ms, mfu 7.98%
iter 1280: loss 1.3689, time 40.96ms, mfu 8.09%
iter 1290: loss 1.4009, time 41.02ms, mfu 8.19%
iter 1300: loss 1.4173, time 42.28ms, mfu 8.25%
iter 1310: loss 1.3482, time 42.32ms, mfu 8.31%
iter 1320: loss 1.4133, time 42.32ms, mfu 8.36%
iter 1330: loss 1.3727, time 47.35ms, mfu 8.31%
iter 1340: loss 1.4173, time 46.07ms, mfu 8.29%
iter 1350: loss 1.3720, time 42.38ms, mfu 8.34%
iter 1360: loss 1.3897, time 41.10ms, mfu 8.41%
iter 1370: loss 1.3701, time 42.33ms, mfu 8.45%
iter 1380: loss 1.3767, time 41.71ms, mfu 8.50%
iter 1390: loss 1.3606, time 40.98ms, mfu 8.56%
iter 1400: loss 1.3711, time 41.02ms, mfu 8.61%
iter 1410: loss 1.3590, time 43.08ms, mfu 8.61%
